d,p,n,par,family,dvine,norm_error,sum_error,max_norm_error,last_param_error
10,45,100,function (t)  0.5^t,1,FALSE,0.6346128884925281,0.7423409111537647,0.21003047634187522,-0.08720102021338554
10,45,100,function (t)  0.5^t,1,FALSE,0.5842515832677724,0.5560031824155257,0.18256859911838427,-0.04617064363647031
10,45,100,function (t)  0.5^t,1,FALSE,0.6350262151381827,0.27808850581534755,0.25385259047087183,-0.18811046813053608
10,45,100,function (t)  0.5^t,1,FALSE,0.7282059029839836,1.8219489711351025,0.23292761814541613,0.23292761814541613
10,45,100,function (t)  0.5^t,1,FALSE,0.6145910088904301,-0.7340229222521788,0.20213421845345192,-0.13884589246336013
10,45,100,function (t)  0.5^t,1,FALSE,0.6030813049126025,0.30307132249839436,0.2846544312732035,0.011557009056254293
10,45,100,function (t)  0.5^t,1,FALSE,0.6014541093637552,-0.3145276319091248,0.2301491136500896,0.01837229128503881
10,45,1000,function (t)  0.5^t,1,FALSE,0.23410022464637284,0.1336559167249905,0.08318312064950864,-0.059125755588138255
10,45,1000,function (t)  0.5^t,1,FALSE,0.20645858613897275,0.14712723143451625,0.06194517609319775,0.06148839820540697
10,45,1000,function (t)  0.5^t,1,FALSE,0.18598808567138123,-0.1868269368466358,0.06260706087461083,-0.02980023439026355
10,45,1000,function (t)  0.5^t,1,FALSE,0.1935123834982612,-0.04486430346166237,0.07915789029323675,0.03394624281111376
10,45,1000,function (t)  0.5^t,1,FALSE,0.19905285166698725,-0.08819386195349525,0.07500317539075321,-8.387592957263422e-4
10,45,1000,function (t)  0.5^t,1,FALSE,0.1993678075737922,-0.12653075970496142,0.07441745072545533,0.018887414496911843
10,45,1000,function (t)  0.5^t,1,FALSE,0.23177630750232123,-0.14700890619989804,0.09532159437231699,-0.010596072553918505
10,45,1000,function (t)  0.5^t,1,FALSE,0.2119030677027362,-0.15935090240352554,0.07865201351181547,-0.024148407186782492
10,45,1000,function (t)  0.5^t,1,FALSE,0.21524849118904874,-0.13756708662347045,0.06840604419581323,-0.045056499864603354
10,45,1000,function (t)  0.5^t,1,FALSE,0.186277977608818,-0.2312706932833898,0.09818518597942313,-0.0382460438463747
10,45,1000,function (t)  0.5^t,1,FALSE,0.20891196464029227,-0.16886190279118313,0.07192173772335426,-0.0684900374533822
